Date,Close/Last,Volume,Open,High,Low
07/21/2023,$246.64,1591538,$245.39,$248.93,$245.085
07/20/2023,$245.62,2069247,$243.41,$246.19,$240.84
07/19/2023,$242.66,1125805,$242.42,$243.98,$240.89
07/18/2023,$239.84,1283664,$239.54,$243.05,$239.04
07/17/2023,$239.45,953204,$238.53,$241.74,$237.835
07/14/2023,$238.87,1559725,$239.18,$239.4299,$237.42
07/13/2023,$238.48,1097047,$239.50,$241.4872,$237.93
07/12/2023,$238.80,1470263,$240.00,$241.00,$237.88
07/11/2023,$241.22,1205620,$241.66,$243.12,$240.03
07/10/2023,$241.91,1413218,$241.85,$243.89,$241.20
07/07/2023,$242.98,1395973,$247.02,$247.02,$242.96
07/06/2023,$247.76,973437,$248.22,$249.84,$247.1486
07/05/2023,$248.81,1188410,$251.58,$251.71,$247.84
07/03/2023,$251.73,608411,$248.76,$251.73,$247.18
06/30/2023,$249.70,1323957,$248.83,$249.815,$247.83
06/29/2023,$248.68,1413062,$248.26,$249.69,$246.67
06/28/2023,$249.59,1929092,$258.08,$258.35,$249.29
06/27/2023,$259.91,674258,$260.46,$261.58,$258.36
06/26/2023,$259.53,857403,$259.08,$259.60,$256.025
06/23/2023,$259.09,3652236,$261.30,$261.30,$257.83
